U_uniform,X_poisson_trunc10
0.603659092756004,2
0.747393730298056,2
0.521694109869978,2
0.457272426173368,1
0.628786333319035,2
0.714737206799846,2
0.61610591570836,2
0.37232748016924,1
0.897514544921767,3
0.356043317520813,1
0.52313140994014,2
0.523428624472897,2
0.074037746391907,0
0.665809585317093,2
0.161554872075648,0
0.449685589042163,1
0.259312712634754,1
0.766178245068186,2
0.0381525456358365,0
0.0246135146500824,0
0.502849896170839,1
0.416333315710252,1
0.0380873185613608,0
0.85124900906896,3
0.0660451477559539,0
0.158212265896841,0
0.786198841700663,3
0.752925982683364,2
0.108679557435857,0
0.0715026549369562,0
0.111528278178799,0
0.678698542355376,2
0.124560643650319,0
0.596319853526365,2
0.478313984388156,1
0.0451371223390026,0
0.530780047962065,2
0.122627293149021,0
0.284199437635785,1
0.831593855803404,3
0.246617441579673,1
0.753495250716467,2
0.331088923541347,1
0.267344764253892,1
0.636120747012111,2
0.272857623680767,1
0.236144537008408,1
0.403958942818459,1
0.92153894377497,4
0.210711164717849,1
0.485634052217681,1
0.247537357229517,1
0.418587081450194,1
0.22072957992016,1
0.811198406304781,3
0.784244310241252,3
0.104891478092211,0
0.444471752458503,1
0.671737286753989,2
0.494047386843739,1
0.0559042401013368,0
0.289925025730437,1
0.732475551420999,2
0.83970738461321,3
0.618477812837942,2
0.556199209523755,2
0.382043783126152,1
0.690994879201976,2
0.146858938202297,0
0.161051773771001,0
0.68589389334959,2
0.103074390908503,0
0.103939623603903,0
0.251475610512758,1
0.62894995378531,2
0.98983033784101,5
0.00718775675176475,0
0.610187436416538,2
0.13673911889438,0
0.383239660994889,1
0.108769642757294,0
0.864001311657849,3
0.0642554580430901,0
0.372188254942335,1
0.293770079842138,1
0.681757860874348,2
0.269063156561521,1
0.857308276232102,3
0.662662565458504,2
0.885595220596852,3
0.497367146575181,1
0.388217888322144,1
0.246814667931843,1
0.246054041643317,1
0.752083568292656,2
0.324124465225547,1
0.744601224031954,2
0.692485111614341,2
0.0369928604615961,0
0.63735750667293,2
0.868279927620355,3
0.457055031624863,1
0.161548635176323,0
0.372517669418034,1
0.289010559876997,1
0.151432123457294,0
0.504107274034003,1
0.453304533518399,1
0.31298342766929,1
0.848458961862297,3
0.754555243494886,2
0.59717173924878,2
0.281244778522299,1
0.133962907662324,0
0.473016185642304,1
0.181671182603512,0
0.516342317567379,1
0.12566090779491,0
0.30497460000345,1
0.83766340620239,3
0.977315775696093,5
0.207726302407129,1
0.0805031420708718,0
0.268766992671443,1
0.641292886464293,2
0.159798575307845,0
0.695113851396576,2
0.907007722042856,3
0.584053595458399,2
0.114796860692109,0
0.697893790328681,2
0.368581890487816,1
0.282070432245542,1
0.580235443753151,2
0.757937038874628,2
0.724941819093312,2
0.716034930279099,2
0.303744054588284,1
0.238681586932375,1
0.841226427215193,3
0.0947014360195001,0
0.0323692798789088,0
0.743656223676913,2
0.271427732468479,1
0.472795073630547,1
0.296237810397866,1
0.206052705743207,1
0.611523229714277,2
0.54166241116287,2
0.730755473033599,2
0.193203789485471,0
0.498910334676866,1
0.215284350916662,1
0.159249109504169,0
0.796382533167174,3
0.103205772681878,0
0.283692378097848,1
0.206436899291563,1
0.414070835957707,1
0.706736831318578,2
0.0556184064575308,0
0.511578665420099,1
0.0379032584176996,0
0.728346719494784,2
0.336385133279454,1
0.0279217368731641,0
0.557158563888792,2
0.326441657176179,1
0.314965169146288,1
0.516217374776948,1
0.660239448098444,2
0.144403467849516,0
0.999083262500059,7
0.598385723626622,2
0.19000897810162,0
0.176490779849418,0
0.616928861279542,2
0.176765524905299,0
0.501372948884605,1
0.45099241798654,1
0.826259218433938,3
0.182156262672643,0
0.505245684959148,1
0.377694839008964,1
0.612625999177269,2
0.327787770857728,1
0.649051392834141,2
0.361399289033841,1
0.530952270815118,2
0.440009296300559,1
0.297897937404242,1
0.862559246869624,3
0.577031417787416,2
0.839302797619077,3
0.297382203744409,1
0.478891164748689,1
0.761295176797401,2
0.154970586715216,0
0.56852911640164,2
0.260276374709962,1
0.978255022235521,5
0.131219252283019,0
0.911678304291287,3
0.916083263651462,3
0.128247223181596,0
0.521032264545584,2
0.32895639980643,1
0.308057849949128,1
0.669510205310031,2
0.943503344180835,4
0.100699903834008,0
0.375452880661053,1
0.643847441252193,2
0.162171127571446,0
0.789769146156696,3
0.950186049435666,4
0.362631756898793,1
0.878795719057476,3
0.201272562158746,1
0.0983217491246065,0
0.394685969041358,1
0.453260164498252,1
0.194491900013597,0
0.848916073758255,3
0.187968760181952,0
0.952475825596316,4
0.0103001662235441,0
0.632770256536592,2
0.983563858671439,5
0.0330896532425388,0
0.30622005725538,1
0.621025016587912,2
0.84546670557702,3
0.0356396324450713,0
0.179726876064786,0
0.800319404889333,3
0.0518517451960402,0
0.686978955049814,2
0.699130869450381,2
0.418185011980044,1
0.981992214885899,5
0.562916319301976,2
0.520471396138226,2
0.85028864518804,3
0.0761621118252895,0
0.148376450585101,0
0.820423919639275,3
0.724042976390991,2
0.188593152265258,0
0.131121709531504,0
0.239255055773781,1
0.127713727545733,0
0.0727013220819923,0
0.437764477762897,1
0.851291798556932,3
0.705043945047311,2
0.500177636557881,1
0.921608065583791,4
0.0940889081232439,0
0.474325256540803,1
0.987596726862605,5
0.417083629721778,1
0.558395512088171,2
0.00376984754003296,0
0.605004928784936,2
0.756226439308308,2
0.428491968022724,1
0.565698175613676,2
0.0925757882145303,0
0.0426210979051739,0
0.200638871449577,1
0.346295436306465,1
0.335890156211092,1
0.639800607715048,2
0.170760912573933,0
0.42087129467366,1
0.751131805128386,2
0.262159115610217,1
0.377580394322748,1
0.151418305092924,0
0.678263004870038,2
0.401125187768889,1
0.244136856386524,1
0.759481771262146,2
0.589314556142497,2
0.481373567919225,1
0.819387705854916,3
0.874745531399172,3
0.628374701632855,2
0.0145285710266306,0
0.547917111272584,2
0.241265071861375,1
0.235755459895783,1
0.695631875217257,2
0.452543953091888,1
0.149901737659107,0
0.671367956381104,2
0.551470893647635,2
0.511789225893586,1
0.0761837074686543,0
0.246600107956376,1
0.541328214877954,2
0.112176572942411,0
0.552902362716946,2
0.238621092759055,1
5.10637424253613e-05,0
0.146584441995888,0
0.46298876262236,1
0.718905763058017,2
0.392860654111411,1
0.424238641705412,1
0.84617495331171,3
0.407631303771005,1
0.340036714084881,1
0.684812090705242,2
0.623481787045504,2
0.0873330033494544,0
0.452302204804504,1
0.410944100271949,1
0.584160273945537,2
0.729141697292501,2
0.051307597447965,0
0.53589070417856,2
0.706133493710821,2
0.397063622222396,1
0.85635677151492,3
0.768606688850852,2
0.36756890762558,1
0.0942531977885314,0
0.854684874222718,3
0.975713327866971,5
0.45543765291674,1
0.835982617486896,3
0.280651512744232,1
0.498554012540974,1
0.630323128493787,2
0.861604348573707,3
0.281898309821576,1
0.362642577372433,1
0.325103803100893,1
0.613554445161121,2
0.651034604068842,2
0.684597556004938,2
0.728875191832412,2
0.590920559058358,2
0.574620918757235,2
0.413507860136045,1
0.989828162314307,5
0.413234241143473,1
0.31601341431795,1
0.518415872736713,1
0.416485810732567,1
0.29726996644722,1
0.579362544253934,2
0.725354681379869,2
0.205362542854526,1
0.302525893223529,1
0.958965492437345,4
0.819247652675776,3
0.947509906984148,4
0.719604795874501,2
0.772867788198466,2
0.182349790769035,0
0.373839953444297,1
0.201541525959276,1
0.23540653979288,1
0.355411751107973,1
0.020996265238576,0
0.461760956073748,1
0.563191439754694,2
0.0360261861329145,0
0.753604237189825,2
0.446220829613471,1
0.779920796759038,3
0.213066398406929,1
0.413356899618141,1
0.756129413064613,2
0.171127729771684,0
0.960576104377482,4
0.520428505409375,2
0.169172698201714,0
0.413561606750259,1
0.818700179979057,3
0.0269349015060836,0
0.49377960551743,1
0.783369738850297,3
0.301086235583502,1
0.647313718465369,2
0.230368223441469,1
0.943501984170425,4
0.11578119484841,0
0.895669896571734,3
0.0383722468817834,0
0.196265863319277,0
0.577079147099715,2
0.0265920031346737,0
